Time,Position
0.263,0.741490716
0.264,0.745774374
0.265,0.74997921
0.266,0.754104884
0.267,0.758151062
0.268,0.76211742
0.269,0.76600364
0.27,0.769809414
0.271,0.773534442
0.272,0.777178434
0.273,0.780741104
0.274,0.78422218
0.275,0.787621394
0.276,0.790938488
0.277,0.794173213
0.278,0.797325328
0.279,0.8003946
0.28,0.803380806
0.281,0.80628373
0.282,0.809103165
0.283,0.811838913
0.284,0.814490783
0.285,0.817058596
0.286,0.819542177
0.287,0.821941364
0.288,0.824256001
0.289,0.82648594
0.29,0.828631044
0.291,0.830691182
0.292,0.832666235
0.293,0.83455609
0.294,0.836360642
0.295,0.838079797
0.296,0.839713468
0.297,0.841261578
0.298,0.842724057
0.299,0.844100845
0.3,0.845391889
0.301,0.846597147
0.302,0.847716584
0.303,0.848750173
0.304,0.849697897
0.305,0.850559747
0.306,0.851335723
0.307,0.852025833
0.308,0.852630094
0.309,0.853148531
0.31,0.853581179
0.311,0.853928079
0.312,0.854189284
0.313,0.854364851
0.314,0.854454851
0.315,0.854459358
0.316,0.854378458
0.317,0.854212245
0.318,0.85396082
0.319,0.853624293
0.32,0.853202784
0.321,0.852696419
0.322,0.852105334
0.323,0.851429673
0.324,0.850669587
0.325,0.849825237
0.326,0.848896792
0.327,0.847884428
0.328,0.846788331
0.329,0.845608693
0.33,0.844345717
0.331,0.842999611
0.332,0.841570594
0.333,0.84005889
0.334,0.838464735
0.335,0.836788368
0.336,0.835030042
0.337,0.833190011
0.338,0.831268544
0.339,0.829265912
0.34,0.827182398
0.341,0.825018289
0.342,0.822773884
0.343,0.820449487
0.344,0.818045409
0.345,0.815561972
0.346,0.812999501
0.347,0.810358334
0.348,0.807638811
0.349,0.804841284
0.35,0.80196611
0.351,0.799013654
0.352,0.795984288
0.353,0.792878392
0.354,0.789696352
0.355,0.786438564
0.356,0.783105428
0.357,0.779697352
0.358,0.776214753
0.359,0.772658052
0.36,0.76902768
0.361,0.765324073
0.362,0.761547673
0.363,0.757698933
0.364,0.753778307
0.365,0.749786261
0.366,0.745723265
0.367,0.741589795
0.368,0.737386335
0.369,0.733113376
0.37,0.728771413
0.371,0.72436095
0.372,0.719882496
0.373,0.715336567
0.374,0.710723684
0.375,0.706044375
0.376,0.701299175
0.377,0.696488623
0.378,0.691613266
0.379,0.686673656
0.38,0.68167035
0.381,0.676603913
0.382,0.671474914
0.383,0.666283928
0.384,0.661031535
0.385,0.655718323
0.386,0.650344883
0.387,0.644911812
0.388,0.639419713
0.389,0.633869193
0.39,0.628260867
0.391,0.622595353
0.392,0.616873273
0.393,0.611095256
0.394,0.605261936
0.395,0.599373951
0.396,0.593431944
0.397,0.587436563
0.398,0.581388461
0.399,0.575288294
0.4,0.569136725
0.401,0.56293442
0.402,0.556682049
0.403,0.550380287
0.404,0.544029814
0.405,0.537631313
0.406,0.531185471
0.407,0.52469298
0.408,0.518154536
0.409,0.511570838
0.41,0.50494259
0.411,0.498270498
0.412,0.491555272
0.413,0.484797628
0.414,0.477998284
0.415,0.471157959
0.416,0.46427738
0.417,0.457357274
0.418,0.450398371
0.419,0.443401408
0.42,0.43636712
0.421,0.429296249
0.422,0.422189536
0.423,0.41504773
0.424,0.407871578
0.425,0.400661832
0.426,0.393419247
0.427,0.386144578
0.428,0.378838586
0.429,0.371502032
0.43,0.364135679
0.431,0.356740294
0.432,0.349316644
0.433,0.341865501
0.434,0.334387635
0.435,0.326883822
0.436,0.319354838
0.437,0.311801459
0.438,0.304224466
0.439,0.296624639
0.44,0.28900276
0.441,0.281359614
0.442,0.273695986
0.443,0.266012662
0.444,0.258310429
0.445,0.250590077
0.446,0.242852396
0.447,0.235098175
0.448,0.227328206
0.449,0.219543283
0.45,0.211744197
0.451,0.203931743
0.452,0.196106714
0.453,0.188269906
0.454,0.180422114
0.455,0.172564132
0.456,0.164696757
0.457,0.156820783
0.458,0.148937008
0.459,0.141046226
0.46,0.133149234
0.461,0.125246827
0.462,0.1173398
0.463,0.109428948
0.464,0.101515065
0.465,0.093598946
0.466,0.085681384
0.467,0.077763172
0.468,0.069845102
0.469,0.061927965
0.47,0.054012551
0.471,0.046099651
0.472,0.038190051
0.473,0.030284541
0.474,0.022383905
0.475,0.014488928
0.476,0.006600394
0.477,-0.001280915
0.478,-0.009154218
0.479,-0.017018737
0.48,-0.024873695
0.481,-0.032718315
0.482,-0.040551825
0.483,-0.048373452
0.484,-0.056182426
0.485,-0.063977979
0.486,-0.071759347
0.487,-0.079525764
0.488,-0.087276471
0.489,-0.095010707
0.49,-0.102727716
0.491,-0.110426745
0.492,-0.118107042
0.493,-0.125767858
0.494,-0.133408446
0.495,-0.141028064
0.496,-0.14862597
0.497,-0.156201427
0.498,-0.1637537
0.499,-0.171282058
0.5,-0.178785771
0.501,-0.186264114
0.502,-0.193716367
0.503,-0.201141808
0.504,-0.208539725
0.505,-0.215909403
0.506,-0.223250136
0.507,-0.230561219
0.508,-0.237841949
0.509,-0.24509163
0.51,-0.252309568
0.511,-0.259495074
0.512,-0.266647462
0.513,-0.273766049
0.514,-0.280850159
0.515,-0.287899117
0.516,-0.294912255
0.517,-0.301888906
0.518,-0.308828412
0.519,-0.315730114
0.52,-0.322593361
0.521,-0.329417505
0.522,-0.336201904
0.523,-0.342945918
0.524,-0.349648914
0.525,-0.356310264
0.526,-0.362929342
0.527,-0.369505531
0.528,-0.376038214
0.529,-0.382526784
0.53,-0.388970635
0.531,-0.395369169
0.532,-0.40172179
0.533,-0.40802791
0.534,-0.414286945
0.535,-0.420498316
0.536,-0.42666145
0.537,-0.43277578
0.538,-0.438840743
0.539,-0.444855783
0.54,-0.450820347
0.541,-0.456733891
0.542,-0.462595874
0.543,-0.468405762
0.544,-0.474163026
0.545,-0.479867144
0.546,-0.485517598
0.547,-0.491113877
0.548,-0.496655476
0.549,-0.502141896
0.55,-0.507572644
0.551,-0.512947232
0.552,-0.51826518
0.553,-0.523526012
0.554,-0.52872926
0.555,-0.533874462
0.556,-0.53896116
0.557,-0.543988906
0.558,-0.548957255
0.559,-0.553865771
0.56,-0.558714022
0.561,-0.563501584
0.562,-0.568228039
0.563,-0.572892976
0.564,-0.577495991
0.565,-0.582036685
0.566,-0.586514666
